emoji,anger,fear,joy,sadness,native,unicode,bytes-UTF-8,description
1f64b,0.068,0.084,0.08,0.156,🙋,1F64B,\xF0\x9F\x99\x8B,happy person raising one hand
1f4a6,0.26,0.119,0.081,0.169,💦,1F4A6,\xF0\x9F\x92\xA6,splashing sweat symbol
1f352,0.171,0.139,0.155,0.087,🍒,1F352,\xF0\x9F\x8D\x92,cherries
1f50c,0.124,0.14,0.078,0.139,🔌,1F50C,\xF0\x9F\x94\x8C,electric plug
2601,0.18,0.231,0.266,0.295,☁,2601,\xE2\x98\x81,cloud
231a,0.183,0.276,0.172,0.235,⌚,231A,\xE2\x8C\x9A,watch
26ea,0.208,0.276,0.773,0.366,⛪,26EA,\xE2\x9B\xAA,church
1f300,0.169,0.288,0.177,0.214,🌀,1F300,\xF0\x9F\x8C\x80,cyclone
2b1b,0.396,0.159,0.222,0.263,⬛,2B1B,\xE2\xAC\x9B,black large square
1f313,0.241,0.233,0.265,0.284,🌓,1F313,\xF0\x9F\x8C\x93,first quarter moon symbol
1f440,0.272,0.218,0.049,0.063,👀,1F440,\xF0\x9F\x91\x80,eyes
1f4f2,0.098,0.142,0.156,0.206,📲,1F4F2,\xF0\x9F\x93\xB2,mobile phone with rightwards arrow at left
25aa,0.319,0.249,0.141,0.227,▪,25AA,\xE2\x96\xAA,black small square
2660,0.246,0.213,0.187,0.279,♠,2660,\xE2\x99\xA0,black spade suit
1f3ad,0.159,0.108,0.204,0.162,🎭,1F3AD,\xF0\x9F\x8E\xAD,performing arts
1f424,0.156,0.238,0.125,0.057,🐤,1F424,\xF0\x9F\x90\xA4,baby chick
1f40c,0.162,0.239,0.199,0.17,🐌,1F40C,\xF0\x9F\x90\x8C,snail
1f431,0.147,0.185,0.197,0.167,🐱,1F431,\xF0\x9F\x90\xB1,cat face
1f43c,0.069,0.232,0.091,0.153,🐼,1F43C,\xF0\x9F\x90\xBC,panda face
1f553,0.165,0.361,0.171,0.282,🕓,1F553,\xF0\x9F\x95\x93,clock face four oclock
1f456,0.2,0.109,0.134,0.209,👖,1F456,\xF0\x9F\x91\x96,jeans
1f33c,0.202,0.299,0.314,0.242,🌼,1F33C,\xF0\x9F\x8C\xBC,blossom
1f3a3,0.174,0.148,0.075,0.128,🎣,1F3A3,\xF0\x9F\x8E\xA3,fishing pole and fish
1f4d0,0.198,0.201,0.284,0.168,📐,1F4D0,\xF0\x9F\x93\x90,triangular ruler
1f552,0.167,0.369,0.209,0.282,🕒,1F552,\xF0\x9F\x95\x92,clock face three oclock
1f33b,0.203,0.243,0.354,0.212,🌻,1F33B,\xF0\x9F\x8C\xBB,sunflower
1f41e,0.228,0.22,0.208,0.153,🐞,1F41E,\xF0\x9F\x90\x9E,lady beetle
1f423,0.099,0.171,0.16,0.125,🐣,1F423,\xF0\x9F\x90\xA3,hatching chick
1f4b2,0.203,0.149,0.113,0.228,💲,1F4B2,\xF0\x9F\x92\xB2,heavy dollar sign
2649,0.22,0.2,0.257,0.253,♉,2649,\xE2\x99\x89,taurus
2935,0.257,0.276,0.287,0.245,⤵,2935,\xE2\xA4\xB5,arrow pointing rightwards then curving downwards
1f360,0.191,0.219,0.25,0.121,🍠,1F360,\xF0\x9F\x8D\xA0,roasted sweet potato
1f38c,0.114,0.048,0.039,0.207,🎌,1F38C,\xF0\x9F\x8E\x8C,crossed flags
1f520,0.182,0.175,0.161,0.182,🔠,1F520,\xF0\x9F\x94\xA0,input symbol for latin capital letters
1f52a,0.321,0.449,0.075,0.125,🔪,1F52A,\xF0\x9F\x94\xAA,hocho
1f4cf,0.249,0.206,0.215,0.155,📏,1F4CF,\xF0\x9F\x93\x8F,straight ruler
1f61d,0.083,0.14,0.027,0.143,😝,1F61D,\xF0\x9F\x98\x9D,face with stuck-out tongue and tightly-closed eyes
1f4da,0.167,0.157,0.351,0.141,📚,1F4DA,\xF0\x9F\x93\x9A,books
1f30c,0.167,0.201,0.437,0.22,🌌,1F30C,\xF0\x9F\x8C\x8C,milky way
1f3ab,0.108,0.082,0.101,0.327,🎫,1F3AB,\xF0\x9F\x8E\xAB,ticket
1f4f3,0.075,0.176,0.083,0.134,📳,1F4F3,\xF0\x9F\x93\xB3,vibration mode
1f646,0.155,0.142,0.141,0.23,🙆,1F646,\xF0\x9F\x99\x86,face with ok gesture
1f30b,0.207,0.247,0.141,0.22,🌋,1F30B,\xF0\x9F\x8C\x8B,volcano
1f3ec,0.081,0.231,0.199,0.18,🏬,1F3EC,\xF0\x9F\x8F\xAC,department store
1f472,0.255,0.262,0.126,0.176,👲,1F472,\xF0\x9F\x91\xB2,man with gua pi mao
1f48f,0.188,0.122,0.358,0.227,💏,1F48F,\xF0\x9F\x92\x8F,kiss
1f302,0.136,0.202,0.201,0.295,🌂,1F302,\xF0\x9F\x8C\x82,closed umbrella
1f44b,0.256,0.252,0.146,0.199,👋,1F44B,\xF0\x9F\x91\x8B,waving hand sign
1f358,0.241,0.156,0.111,0.153,🍘,1F358,\xF0\x9F\x8D\x98,rice cracker
1f64a,0.214,0.2,0.081,0.147,🙊,1F64A,\xF0\x9F\x99\x8A,speak-no-evil monkey
2668,0.21,0.228,0.128,0.173,♨,2668,\xE2\x99\xA8,hot springs
26fa,0.105,0.189,0.247,0.151,⛺,26FA,\xE2\x9B\xBA,tent
1f34d,0.117,0.194,0.133,0.123,🍍,1F34D,\xF0\x9F\x8D\x8D,pineapple
1f477,0.204,0.298,0.241,0.197,👷,1F477,\xF0\x9F\x91\xB7,construction worker
1f647,0.256,0.331,0.262,0.299,🙇,1F647,\xF0\x9F\x99\x87,person bowing deeply
1f3be,0.174,0.198,0.174,0.327,🎾,1F3BE,\xF0\x9F\x8E\xBE,tennis racquet and ball
1f634,0.266,0.234,0.33,0.255,😴,1F634,\xF0\x9F\x98\xB4,sleeping face
1f3ee,0.111,0.235,0.225,0.163,🏮,1F3EE,\xF0\x9F\x8F\xAE,izakaya lantern
1f380,0.202,0.203,0.345,0.193,🎀,1F380,\xF0\x9F\x8E\x80,ribbon
1f517,0.258,0.217,0.179,0.262,🔗,1F517,\xF0\x9F\x94\x97,link symbol
1f604,0.184,0.197,0.188,0.149,😄,1F604,\xF0\x9F\x98\x84,smiling face with open mouth and smiling eyes
1f64f,0.187,0.178,0.485,0.351,🙏,1F64F,\xF0\x9F\x99\x8F,person with folded hands
1f3b5,0.26,0.191,0.341,0.328,🎵,1F3B5,\xF0\x9F\x8E\xB5,musical note
1f412,0.179,0.379,0.083,0.032,🐒,1F412,\xF0\x9F\x90\x92,monkey
1f42d,0.189,0.208,0.136,0.094,🐭,1F42D,\xF0\x9F\x90\xAD,mouse face
